ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD,ratio,mean,weight,gender
AUS000072413486,AUS,20.7,13.8,0,0,0,11.4,35.9,47.3,34.5,1.4,20.7,0,22.1,17.25,4.4875,8,ab,2,1,1,0.56,342,6672.446338,1
AUS000014602748,AUS,10.3,14.6,0,0,0,9.7,25.6,35.3,24.9,0.7,10.3,0,11,12.45,3.2,8,ab,2,1,1,0.58,330.3809524,6937.883465,2
AUS000004400849,AUS,3.4,6.9,0,5.7,0,18.2,31.3,49.5,16,15.3,9.1,0,24.4,5.333333333,1.565,20,bab,3,1,1,0.81,449.1904762,9700.628838,2
AUS000068912889,AUS,23.8,0,10,0,0,13.1,36,49.1,33.8,2.2,23.8,5.6,46,16.9,3.272727273,11,ab,2,1,1,0.47,249.8333333,5545.39494,2
AUS000070313133,AUS,20.3,7.2,0,7.8,0,8.7,40.8,49.5,35.3,5.5,28.1,0,33.6,8.825,2.147368421,19,abab,4,1,1,0.83,470.5238095,9880.834033,1
AUS000077014373,AUS,7,5.3,0,0,17.2,31.1,33.1,64.2,29.5,3.6,24.2,4.7,27.8,9.833333333,2.06875,16,bab,3,1,1,0.37,223.3,4356.600197,2
AUS000016203034,AUS,31,11,0,0,0,35,45.2,80.2,42,3.2,31,0,34.2,7,3.766666667,12,aaaaab,6,1,1,0.1,63.8,1244.742913,1
AUS000016203039,AUS,8.6,10,0,0,0,18.8,23.5,42.3,18.6,4.9,8.6,0,13.5,9.3,2.136363636,11,ab,2,1,1,0.59,324.5714286,7009.38049,2
AUS000048609011,AUS,12.3,7.3,0,0,0,15.5,20.8,36.3,19.6,1.2,12.3,0,13.5,9.8,2.6,8,ab,2,1,1,0.48,295.7,5769.129772,2
AUS000048609015,AUS,7,4,0,15.7,0,17.4,29.1,46.5,26.7,2.4,22.7,0,25.1,8.9,2.238461538,13,bab,3,1,1,0.78,475.1,9269.237588,2
AUS000005401039,AUS,6.8,13.3,0,12.7,0,13.5,36.9,50.4,32.8,4.1,19.5,0,23.6,8.2,2.05,18,bbab,4,1,1,0.81,459.8571429,9656.837796,2
AUS000042507858,AUS,26.6,5.1,0,14.1,0,16.2,52.2,68.4,45.8,6.4,40.7,0,47.1,11.45,3.070588235,17,abab,4,1,1,0.97,551.1428571,11573.8056,1
AUS000042507870,AUS,12.4,8,0,0,0,19.5,21.7,41.2,20.4,1.3,12.4,0,13.7,10.2,2.7125,8,ab,2,1,1,0.76,416.4761905,8994.137583,2
AUS000000300041,AUS,17,3.7,0,6.1,0,23.4,31.1,54.5,26.8,4.3,23.1,0,27.4,6.7,1.829411765,17,abab,4,1,1,0.88,540.1,10537.39259,1
AUS000020003731,AUS,23.3,10.1,0,9,0,14.1,46.4,60.5,42.4,4,32.3,0,36.3,10.6,2.729411765,17,abab,4,1,1,0.85,479.6190476,10071.83083,1
AUS000020003715,AUS,15.8,7.8,0,3.5,0,16.4,36.4,52.8,27.1,9.3,19.3,0,28.6,6.775,1.582608696,23,abab,4,1,1,0.92,506.5714286,10939.81656,2
AUS000073713763,AUS,14.5,4.2,0,5.4,0,24.2,33.5,57.7,24.1,9.4,19.9,0,29.3,6.025,1.595238095,21,abab,4,1,1,0.55,336.3,6561.238899,1
