ID,cnt,time_a,time_b1,time_b2,time_b3,time_b4,time_start,time_solving,time_total,time_answer,time_irrelevant,time_explore_relevant,time_ticket_explore,time_explore_total,time_avg_explore,time_avg_btw_events,events_num,sequence,length,credit,OECD
MAC000000300217,MAC,3.0349529867072724,1.9021075263969205,0.0,2.0412203288596382,0.0,1.3294115989290574,1.5525036599970816,1.6162626981436004,1.5046438753908387,1.1691339637561873,1.4619086635586902,0.0,1.5206396356245329,1.7227665977411035,1.042522821888861,22.0,aaaaabb,7.0,1.0,0
MAC000000300194,MAC,3.5380565643793527,2.4595888418037104,0.0,0.0,0.0,1.1691339637561873,1.576356602040725,1.6094446889613114,1.5704646759297425,0.6059043893061566,1.512498850885378,0.0,1.5206396356245329,3.1376657694426577,1.8983692042863132,8.0,ab,2.0,1.0,0
MAC000004405049,MAC,2.5416019934645457,2.128231705849268,0.0,0.0,0.0,1.2600871225083374,1.4258147197671796,1.516928056763448,1.3864742986964116,0.9179203620158715,1.2645791653068086,0.0,1.3310488570932806,1.9969653199008464,0.9609909106827724,14.0,aab,3.0,1.0,0
MAC000004405069,MAC,2.580216829592325,0.0,2.72785282839839,0.0,0.0,1.2460370861215575,1.4677181096275485,1.5403284199310368,1.4619086635586902,0.4256782727316239,1.2754233655037372,0.65039140701146,1.5580402075286712,2.6567569067146595,1.3918345414402573,9.0,ab,2.0,1.0,0
MAC000004405064,MAC,1.8718021769015913,2.0412203288596382,0.0,0.0,3.817712325956905,1.3437034446606386,1.6329663695730217,1.677148510279888,1.620428726255306,0.9433672004942734,1.5957092304038698,0.9882016178124112,1.6101756790081954,2.719649336945562,1.356080582535664,21.0,bbab,4.0,1.0,0
MAC000004405142,MAC,1.9600947840472698,2.186051276738094,0.0,0.0,2.8678989020441064,1.3827084237499474,1.5727547819290861,1.6419271029317815,1.4936133099283804,1.3105061862047918,1.426830326291512,1.1122588588360713,1.5324834516783776,2.4159137783010487,1.172482137234565,20.0,bab,3.0,1.0,0
MAC000004405066,MAC,3.2108436531709366,2.1162555148025524,0.0,2.9444389791664403,0.0,1.4515128711337983,1.7422944493076744,1.77759153391586,1.5920925492406057,1.63454690370149,1.5595201142677886,0.0,1.7303211988064389,1.698114568809347,0.9628374850970499,68.0,aaaaaabbbab,11.0,1.0,0
MNE000001100819,MNE,2.9652730660692823,1.7749523509116738,0.0,2.1162555148025524,0.0,1.4741440143630178,1.590459951360167,1.677630111511502,1.4936133099283804,1.37363667328173,1.4550420344763515,0.0,1.569075841178953,2.4159137783010487,1.3518855813430246,17.0,abb,3.0,1.0,0
MNE000001100788,MNE,3.3568971227655755,2.174751721484161,0.0,0.0,0.0,1.372306733580753,1.5441240320718561,1.6207712025340484,1.5254718415540143,0.8995981924982446,1.4717601349138203,0.0,1.496434016604423,2.9311937524164198,1.766441661243765,8.0,ab,2.0,1.0,0
MNE000001100850,MNE,2.681021528714291,2.379546134130174,0.0,0.0,2.9601050959108397,1.2484412575662103,1.7004113941037133,1.7217141224097436,1.5590282107707776,1.5754632128599408,1.5026258232577485,0.8995981924982446,1.678588915362136,2.7013612129514133,1.4394840045629425,27.0,abb,3.0,1.0,0
MNE000004804373,MNE,2.791165107812717,2.186051276738094,0.0,0.0,0.0,1.3925972252236156,1.450620221545303,1.5736623488849248,1.431829861556148,0.7412763113750154,1.332673388161047,0.0,1.3627444919353813,2.533696813957432,1.423108334242607,8.0,ab,2.0,1.0,0
MNE000004003731,MNE,1.791759469228055,2.580216829592325,0.0,0.0,0.0,1.3864742986964116,1.372306733580753,1.5347605466659382,1.3613409980207645,0.4623410117990646,1.026672031199051,0.0,1.0705291605995013,2.2617630984737906,1.1786549963416462,8.0,ab,2.0,1.0,0
MNE000004003741,MNE,3.4719664525503626,2.0412203288596382,0.0,1.9315214116032138,0.0,1.543586783578356,1.5968977628332395,1.7047134862451474,1.569075841178953,1.1035676640041991,1.5347605466659382,0.0,1.5681436937306414,2.4807312783775197,1.375946892490454,17.0,abab,4.0,1.0,0
MNE000004003686,MNE,1.7749523509116738,2.2407096892759584,0.0,2.0918640616783932,0.0,1.393799551654258,1.5785698946869828,1.648409474849288,1.4020178274960418,1.4532856685113982,1.2711498482847257,0.0,1.5370087668484511,2.0541237336955462,1.0971619621194908,23.0,bab,3.0,1.0,0
MNE000000300127,MNE,3.9721769282478934,0.0,3.572345637857985,0.0,0.0,1.4772757932055116,1.7063212697105385,1.7545425579249727,1.699995342956993,0.8800361963268118,1.603857757940496,1.1947055233182955,1.763275736732683,3.7921127087555884,2.3958730274378457,9.0,ab,2.0,1.0,0
MNE000000300064,MNE,2.970414465569701,3.391147045808654,0.0,0.0,0.0,1.200683717291646,1.6991598640166576,1.7173130053928611,1.5841937470830596,1.5457260008806777,1.3788704886376961,0.0,1.623485717673202,3.202746442938317,2.033196213529167,13.0,ab,2.0,1.0,0
MNE000000300129,MNE,2.6461747973841225,2.1400661634962708,0.0,0.0,0.0,1.3482566383484507,1.4206553564710334,1.5419651313748994,1.4043045286769003,0.65039140701146,1.2936786173409935,0.0,1.321027818840691,2.424802725718295,1.3250836300749942,8.0,ab,2.0,1.0,0
MNE000003203075,MNE,1.6486586255873816,2.3978952727983707,0.0,3.3568971227655755,0.0,1.409907759500656,1.5811885729462234,1.6540847495775262,1.5600106287932884,1.0016484949025963,1.5026258232577485,0.0,1.5313338598320763,2.705825506302816,1.521026955106854,13.0,bab,3.0,1.0,0
MNE000003203007,MNE,3.2846635654062037,2.917770732084279,0.0,0.0,0.0,1.530756264056766,1.5957092304038698,1.6993691576112373,1.5662641524056873,1.1164927212656812,1.4550420344763515,0.0,1.506639764180712,3.1179499062782403,1.9810014688665833,8.0,ab,2.0,1.0,0
MNE000003903569,MNE,2.5877640352277083,2.2407096892759584,0.0,0.0,0.0,1.3310488570932806,1.4216982510658829,1.5364493816921487,1.4054380116685825,0.65039140701146,1.2775291770472348,0.0,1.3068796510064953,2.4292177439274116,1.328400382700988,8.0,ab,2.0,1.0,0
MNE000003903530,MNE,2.066862759472976,2.5257286443082556,0.0,0.0,4.014579593753238,1.3013214458074807,1.6769071561674243,1.7065210652621865,1.6679631521563676,0.9266593132662122,1.635487930316998,1.3294115989290574,1.6463749510458208,3.2294860041121423,1.7535382564078572,16.0,bab,3.0,1.0,0
MNE000003903514,MNE,3.2108436531709366,2.2617630984737906,0.0,0.0,0.0,1.358504720646626,1.5230720431334746,1.603857757940496,1.505976902679375,0.8365255408710492,1.4376630202955416,0.0,1.4619086635586902,2.8449093838194073,1.6840814554298662,8.0,ab,2.0,1.0,0
MNE000001501217,MNE,1.824549292051046,0.0,2.5572273113676265,0.0,0.0,1.3613409980207645,1.6710010327416251,1.7090950180268916,1.3599277824118416,1.6211129698590494,1.038348809233326,0.9179203620158715,1.6983198447601615,2.256541154492639,1.547562508716013,20.0,ab,2.0,1.0,0
MNE000001501248,MNE,3.8308129500026027,2.89591193827178,0.0,0.0,0.0,1.4470070948020248,1.652965599715257,1.710657776180059,1.6382788456426782,1.026672031199051,1.5750147661314382,0.0,1.596106340057561,3.4688560301359703,2.2407096892759584,8.0,ab,2.0,1.0,0
MNE000001901694,MNE,3.8044377947482086,3.374168709274236,0.0,0.0,0.0,1.54888675756422,1.8067594058649106,1.8420179686093907,1.6661638131409213,1.7055194796241386,1.5695400313619958,0.0,1.7749652497317365,2.566230587873667,2.671270949368366,12.0,aaaaab,6.0,1.0,0
MNE000002902653,MNE,2.2082744135228043,2.5494451709255714,0.0,2.4849066497880004,2.917770732084279,1.3452323543376985,1.6901040629934483,1.7222553982242546,1.5892250875539449,1.5144104237984806,1.5319095853072,1.228445035063586,1.6614412568862762,2.5726122302071057,1.318193948505165,30.0,bbab,4.0,1.0,0
MNE000002902659,MNE,2.8507065015037334,1.9740810260220096,0.0,0.0,0.0,1.3627444919353813,1.512498850885378,1.5984695354136471,1.4247937615815642,1.2460370861215575,1.3482566383484507,0.0,1.4677181096275485,2.505525936990736,1.4678743481123135,10.0,ab,2.0,1.0,0
MNE000002902641,MNE,3.246490991901174,2.379546134130174,0.0,0.0,0.0,1.516928056763448,1.5254718415540143,1.6595662559846898,1.5194109450784927,0.5265890341390446,1.4460929929360595,0.0,1.4550420344763515,2.9041650800285006,1.6933193964148026,8.0,ab,2.0,1.0,0
MNE000000500310,MNE,4.117409835153096,2.970414465569701,0.0,0.0,0.0,1.5585349109829467,1.6925273442032427,1.763821709818722,1.6828325743288097,0.9812192346682724,1.632648419473441,0.0,1.6457889206683507,3.700066643504501,2.4336133554004498,8.0,ab,2.0,1.0,0
MNE000002602573,MNE,3.1354942159291497,2.8735646395797834,0.0,0.0,0.0,1.4709586921190627,1.5545373490427516,1.656299907930559,1.543586783578356,0.7567800314634663,1.4196068415100236,0.0,1.4405144816278412,3.013080911888604,1.8082887711792655,8.0,ab,2.0,1.0,0
MNE000004904492,MNE,2.9856819377004897,0.0,3.349904087274605,0.0,0.0,1.4376630202955416,1.5863082789234622,1.664605140196298,1.5803201337999115,0.6288586214346804,1.3827084237499474,1.1122588588360713,1.6739817078126253,3.184284380098582,1.7526720805200082,10.0,ab,2.0,1.0,0
MNE000001601382,MNE,2.7013612129514133,2.2300144001592104,0.0,0.0,0.0,1.2310438717249161,1.4433240994372818,1.5206396356245329,1.4216982510658829,0.7715658670580718,1.308700647385536,0.0,1.3452323543376985,2.4932054526026954,1.3987168811184478,8.0,ab,2.0,1.0,0
MNE000001601299,MNE,3.929862923556477,2.631888840136646,0.0,0.0,0.0,1.4386182276098225,1.657668996392982,1.7122047414751471,1.640113215496522,1.0852212894608784,1.5953111831156064,0.0,1.6180113091810355,3.4781584227982836,2.2630643348317623,8.0,ab,2.0,1.0,0
MNE000003603240,MNE,3.55820113047182,2.7013612129514133,0.0,0.0,0.0,1.2897528545814338,1.6068606898300961,1.6489860874548532,1.5875644833216505,1.0206335762083372,1.516928056763448,0.0,1.5451936315479267,3.2188758248682006,2.0297916330360155,8.0,ab,2.0,1.0,0
MNE000003603237,MNE,5.123368564083496,3.265759410767051,0.0,0.0,0.0,1.4856252388047966,1.8402031037608613,1.861824442094819,1.834692544158686,1.1164927212656812,1.8121123640671684,0.0,1.8185750652528645,4.57522630961502,3.2527940430716615,8.0,ab,2.0,1.0,0
MNE000003603197,MNE,3.0301337002713233,2.509599262378372,0.0,0.0,0.0,1.5672064812574342,1.5218599667189137,1.6814307302585192,1.496434016604423,0.951362544505703,1.393799551654258,0.0,1.4357382265653922,2.803360380906535,1.6794302842541353,8.0,ab,2.0,1.0,0
MNE000001701456,MNE,3.5145260669691587,3.32862668882732,0.0,0.0,0.0,1.475716492446776,1.6379710956163664,1.7073176585463308,1.6297587123256294,0.824584940453818,1.5073002128032533,0.0,1.523675018056175,2.3902906734436855,1.820508882514041,12.0,aaaaab,6.0,1.0,0
MNE000001701458,MNE,2.2300144001592104,1.9315214116032138,0.0,1.8562979903656263,0.0,1.4008644678998692,1.5908695798249761,1.6582133705983604,1.3925972252236156,1.483385210132459,1.3050429528286707,0.0,1.5648409517031228,1.7749523509116738,1.009000130030506,28.0,abab,4.0,1.0,0
MNE000003703331,MNE,1.9878743481543455,1.62924053973028,0.0,3.3357695763397,0.0,1.3437034446606386,1.5585349109829467,1.623485717673202,1.5370087668484511,0.9666950363247273,1.512498850885378,0.0,1.5370087668484511,2.339399066116762,1.1972838161415824,18.0,babb,4.0,1.0,0
MNE000003703310,MNE,2.8507065015037334,0.0,3.054001181677967,0.0,0.0,1.4567822480559447,1.535888223589899,1.641324723283039,1.5313338598320763,0.4623410117990646,1.3482566383484507,0.5813534384286917,1.623148837487294,2.9575110607337933,1.637917383669576,9.0,ab,2.0,1.0,0
MNE000000100001,MNE,2.6946271807700692,2.3608540011180215,0.0,0.0,0.0,1.4619086635586902,1.4515128711337983,1.6027176199098807,1.433793962466294,0.7249901376627339,1.3068796510064953,0.0,1.3390477938400187,2.5416019934645457,1.426115855306562,8.0,ab,2.0,1.0,0
MNE000000100012,MNE,2.151762203259462,2.322387720290225,0.0,3.681351187693145,0.0,1.321027818840691,1.6348611827002377,1.675207246131015,1.6162626981436004,1.0602420254443068,1.5803201337999115,0.0,1.603098528707693,2.970414465569701,1.7404661748405046,13.0,bab,3.0,1.0,0
MNE000001401058,MNE,2.995732273553991,0.0,3.4307561839036995,0.0,0.0,1.4065650087292019,1.5972920840762572,1.6638200401811587,1.5912782193446273,0.65039140701146,1.3852268599316875,1.369620336446811,1.6860555643510775,3.2367157429965316,1.7195145623872996,11.0,ab,2.0,1.0,0
MNE000001401105,MNE,3.380994674344636,3.3105430133940246,0.0,0.0,0.0,1.4386182276098225,1.619741635847317,1.6862832566939912,1.6137832317222527,0.6897673619073008,1.4772757932055116,0.0,1.4900253090698503,3.3463891451671604,2.087223682121891,8.0,ab,2.0,1.0,0
MNE000000400175,MNE,2.451005098112319,1.7047480922384253,0.0,3.1441522786722644,0.0,1.4008644678998692,1.7516111847182156,1.77894840976956,1.535888223589899,1.6828325743288097,1.508613936101164,0.0,1.744795285623951,2.5977391800363887,1.7313015001909409,25.0,abb,3.0,1.0,0
MNE000000400135,MNE,1.840549633397487,1.589235205116581,0.0,3.3463891451671604,0.0,1.197713885246772,1.5854656189300385,1.6200855382793804,1.5319095853072,1.2460370861215575,1.5079582647588008,0.0,1.5681436937306414,2.580216829592325,1.333451879730007,17.0,bab,3.0,1.0,0
MNE000004704330,MNE,3.5610460826040513,1.7227665977411035,0.0,2.2192034840549946,0.0,1.1854398915668352,1.6684735252826461,1.6892134340220863,1.583340520839692,1.4576463830228739,1.5624426191521055,0.0,1.656299907930559,2.545531271604435,1.4628344382001195,22.0,aabb,4.0,1.0,0
